Key,DOI,Title,Abstract Note,Qixiang
8J8J8BM3,10.1002/etc.4887,A Meta-analysis of Ecotoxicological Hazard Data for Nanoplastics in Marine and Freshwater Systems,"There is emerging concern about the potential health and environmental impacts of nanoplastics in the environment. Information on exposure has been lacking, but a growing amount of ecotoxicological hazard data is now available, allowing a hazard assessment to be conducted for nanoplastics in freshwater and marine systems. Based on a critical evaluation of published studies and the construction of probabilistic species sensitivity distributions (PSSDs), we present a comprehensive, state-of-the-art understanding of nanoplastic ecotoxicity. Different freshwater and marine datasets were constructed based on different data quality levels, and for each of the datasets, PSSDs were built for both mass- and particle number-based concentrations. Predicted no-effect concentrations (PNECs) were then extracted from the PSSDs. We report PNECs at 99 and 72 ??g L?€?1, respectively, for the freshwater and marine dataset after the removal of data measured in the presence of sodium azide (NaN3), which is considered to be a major interfering factor in the ecotoxicity testing of nanoplastics. By comparing the PNECs, we found that nanoplastics are less toxic than microplastics and many engineered nanomaterials. In addition, the effects of size and polymer type on toxicity were also statistically tested. We observed no significant difference in ecotoxicity for nanoplastics of different sizes, whereas polystyrene nanoplastics were significantly more toxic than all other tested nanoplastics. In conclusion, the results we present provide a comprehensive description of nanoplastic ecotoxicity based on current knowledge. The results constitute a fundamental step toward an environmental risk assessment for nanoplastics in freshwater and marine systems. Environ Toxicol Chem 2020;39:2588?€?2598. ?? 2020 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC. ?? 2020 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC",uncertain
Y7VUDU4N,10.46488/NEPT.2020.v19i05.001,Tackling marine plastic pollution through source-to-sea approach and circular economy,"Marine litter and associated marine pollution are becoming a complex global environmental hazard these days. Among the different faces of marine pollution, by far the largest and probably the most dangerous part is marine plastic litter. Plastic litter can be found in almost every marine environment in the world, including deep ocean beds and frozen polar ice. Unless new sustainable methods of plastic production and waste management are encouraged, marine plastic pollution will continue to pose a severe threat to the natural ecosystems of the world. In this paper, the status of marine plastic litter is reviewed using a DPSIR framework, and it is found that significant changes in the way we live and consume are needed to prevent it. A framework that combines the source-to-sea approach and circular economy is introduced as a possible solution to eliminate plastic waste from the environment as well as from the economy. ?? 2020 Technoscience Publications. All rights reserved.",irrelevant
BGDWEIZ4,10.1016/j.jwpe.2020.101600,"Riverine microplastics: Behaviour, spatio-temporal variability, and recommendations for standardised sampling and monitoring","Microplastics (synthetic polymer particles <5 mm in size) are currently of major research interest due to their ubiquity and persistence in the environment, as well as their alleged adverse impact on aquatic biota. Although most research to date has targeted microplastic pollution within the marine environment, riverine pathways deliver up to 80 % of plastic debris into the seas and oceans. The transfer mechanisms of microplastics through river systems, however, remain largely understudied. A number of authors have attempted to assess the fate of plastic particles in river systems, often reporting contrasting findings. This is mainly due to the heterogeneity of river systems combined with a lack of standardisation between the sampling protocols adopted. Here, we summarise the current state of knowledge on the riverine transport pathways of plastic debris and examine the typical spatio-temporal patterns in microplastic occurrence in river waters and sediments. Furthermore, we critically evaluate the commonly used sampling techniques and provide guidelines for unified field study design. Lastly, we identify issues that warrant further research and propose recommendations for future studies to improve our understanding of microplastics in the riverine environment. Standardisation of sampling methods will be vital for the development of a more reliable microplastic monitoring strategy and, on a longer timescale, the implementation of appropriate mitigation measures. ?? 2020",irrelevant
KMFUI2NL,10.1016/j.marpolbul.2020.111727,The role of coated fertilizer used in paddy fields as a source of microplastics in the marine environment,"Fixed-point and multi-point field survey was conducted to determine the actual contamination of the Japanese coast by microcapsules derived from coated fertilizers. The results indicated that the amount of microcapsules increased during the irrigation season (9423?€?74,869 pieces/m2) and decreased in the non-irrigation season (77?€?1471 pieces/m2). Microcapsules accounted for 90% of all microplastics sampled during the irrigation season. The lack of correlation between the area of agricultural land in the watershed and the microcapsule density on the coast suggested that the density of microcapsules on the coast was not only dependent on the total load to the ocean, but also on topographic and meteorological conditions. More than 90% of the microcapsules collected from the shoreline were made of polyethylene. Scanning electron microscopic observation of the surface of the microcapsules revealed that portions of the microcapsules were removed as secondary microplastics in the process of migration to the ocean. ?? 2020 Elsevier Ltd",uncertain
AWCKSZLA,10.1016/j.scitotenv.2020.141115,The long-term legacy of plastic mass production,"Mismanaged plastic waste is transported via rivers or city drains into the ocean where it accumulates in coastal sediments, ocean gyres and the deep ocean. Plastic harms marine biota and may ultimately return to humans via the food chain. Private initiatives proposing to collect plastic from the sea and rivers have gained widespread attention, especially in the media. However, few of these methods are proven concepts and it remains unclear how effective they are. Here we estimate the amount of plastic in the global surface ocean to assess the long-term legacy of plastic mass production, calculate the time required to clean up the oceans with river barriers and clean up devices, and explore the fate of collected plastic waste. We find that the projected impact of both single and multiple clean up devices is very modest. A significant reduction of plastic debris in the ocean can be only achieved with collection at rivers or with a combination of river barriers and clean up devices. We also show that the incineration and production of plastic has a significant long-term effect on the global atmospheric carbon budget. We conclude that a combination of reduced plastic emissions and reinforced collection is the only way to rid the ocean of plastic waste. ?? 2020 Elsevier B.V.",irrelevant
C8SI8BF4,10.1016/j.chemosphere.2020.127570,Microplastic pollution profile of Mediterranean mussels (Mytilus galloprovincialis) collected along the Turkish coasts,"Plastics profoundly threatens ecological balance in marine ecosystems across the globe in the current era of industrialization. Microplastics (MP), in particular, can pose risks reaching humans through the food web via various marine organisms. Among these organisms, since they are consumed as a whole, mussels are vital vectors of MP transfer during human consumption. Hence, here we analyzed MP pollution in Mediterranean mussel (Mytilus galloprovincialis) sampled from 23 different locations all along the Turkish coasts of the Black Sea, Sea of Marmara, and the Aegean Sea. After digestion of the mussels with H2O2, the micro-particles were determined under a stereomicroscope and characterized by confirming with FTIR analyses. 48% of the sampled mussels were found to have MPs. The average MP abundance was 0.69 item/mussel and 0.23 item/g fresh weight (fw) of soft tissue. Morphology was ordered as follows: fragments (67.6%)&gt; fibers (28.4%)&gt; films (4.05%). The dominant size of MPs was detected less than 0.5 mm (26.58%). 12 different polymers have been identified by FTIR and PET (32.9%), PP (28.4%), and PE (19.4%) were found to constitute 80% of the total MPs. The annual average exposure amount for mussel consumers in Turkey was estimated as 1918 MPs item/per year. Even though international organizations such as FAO, JECFA, or EU have not declared permissible limits, our data may inform human health uptake of MP ingestion via mussels. This data might also serve as a reference data-set for further MP monitoring research in Turkish and European Seas. ?? 2020 Elsevier Ltd",irrelevant
DSHWZGS8,10.1038/s41598-020-79304-z,Currently monitored microplastics pose negligible ecological risk to the global ocean,"Given the rise in plastic production, microplastics (MP) dominate marine debris, and their impact on marine ecosystems will likely increase. However a global quantitative assessment of this risk is still lacking. We conducted an ecological risk assessment of MP in the global ocean by comparing the thresholds of biological effects with the probability of exposure to those concentrations, according to plastic density data adjusted to a log-normal distribution. Levels of MP from 100 to 5000 ??m span from < 0.0001 to 1.89 mg/L, whereas the most conservative safe concentration is 13.8 mg/L, and probability of exposure is p = 0.00004. Therefore large MP pose negligible global risk. However, MP bioavailability, translocation and toxicity increase as size decreases, and particles < 10 ??m are not identified by current monitoring methods. Future research should target the lowest size fractions of MP and nanoplastics, and use in toxicity testing environmental plastic particles rather than engineered materials. ?? 2020, The Author(s).",uncertain
R5XMQV6Z,10.1016/j.jwpe.2020.101640,Transport and characterization of microplastics in inland waterways,"Microplastic pollution in floodplains and river channels in 14 locations at six sites along three rivers in Virginia was measured to test the hypotheses that microplastics concentrate in floodplains, exist as larger aggregates with other natural and synthetic particles, and may be different than ocean microplastics. The results show that (1) microplastic concentrations were generally just as high or higher in the floodplain than in the stream channel, (2) microplastics aggregated with natural sediment particles into the ?€?heteroaggregates?€? predicted theoretically, (3) microplastics were larger in the floodplain than in the stream channel with a wider particle size distribution, (4) microplastic particles were 80 % fragments, 15 % spherical particles, and 5% fibers, and (5) chemically identified microplastics were composed of common packaging plastics that were heavily oxidized or hydrolyzed. The shape and chemical compositions of microplastic particles found was very similar to those observed in and around other rivers studied in the literature but different from the ocean environment. The floodplain could be used to capture river microplastics. ?? 2020 Elsevier Ltd",irrelevant
5GCNAF4A,10.1016/j.sjbs.2020.09.054,Extensive use of face masks during COVID-19 pandemic: (micro-)plastic pollution and potential health concerns in the Arabian Peninsula,"Face masks are primary line of defense to reduce the transmission risk of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). World Health Organization (WHO) has already updated the guidelines and advised the use of face masks in public areas essentially. This has dramatically increased the production and use of face masks in many parts of the world. Arabian Peninsula is comprised of six countries where the public perception of following WHO guidelines is high. In this study, we highlight the concerns relating to extensive use of face masks in this region, particularly in the context of (micro-)plastic pollution. We computed the number of face masks to be used in each of the countries of Arabian Peninsula for varying levels of acceptance rate and average number of daily usages. Accordingly, the amount of (micro-)plastic that could come into the terrestrial and marine environment is also reported. Saudi Arabia, being the most populated country in the region may contribute up to 32?€?235 thousand tons of (micro-)plastic which is nearly half of the amount in the whole Peninsula. On the other hand, an extremely high infection rate in Qatar (25.74%) may also lead to a significant increase of (micro-)plastic content due to high public acceptance rate and living standards. The high (micro-)plastic fraction is of significant concern because it ends up in the marine ecosystems. Further, it allows colonization of several pathogenic microorganisms (bacteria, viruses, fungal filaments, and spores) and might serve as carriers of disease transmission finally affecting the living organisms habituating these ecosystems. It is suggested that appropriate regulations on face masks waste should be devised to avoid any unwanted consequences in the near future. ?? 2020 The Authors",irrelevant
FYMBI5HG,10.1038/s41467-020-14538-z,Ranking environmental degradation trends of plastic marine debris based on physical properties and molecular structure,"As plastic marine debris continues to accumulate in the oceans, many important questions surround this global dilemma. In particular, how many descriptors would be necessary to model the degradation behavior of ocean plastics or understand if degradation is possible? Here, we report a data-driven approach to elucidate degradation trends of plastic debris by linking abiotic and biotic degradation behavior in seawater with physical properties and molecular structures. The results reveal a hierarchy of predictors to quantify surface erosion as well as combinations of features, like glass transition temperature and hydrophobicity, to classify ocean plastics into fast, medium, and slow degradation categories. Furthermore, to account for weathering and environmental factors, two equations model the influence of seawater temperature and mechanical forces. ?? 2020, The Author(s).",irrelevant
K6PKXMB4,10.1038/s41467-020-17201-9,Atmospheric transport is a major pathway of microplastics to remote regions,"In recent years, marine, freshwater and terrestrial pollution with microplastics has been discussed extensively, whereas atmospheric microplastic transport has been largely overlooked. Here, we present global simulations of atmospheric transport of microplastic particles produced by road traffic (TWPs ?€? tire wear particles and BWPs ?€? brake wear particles), a major source that can be quantified relatively well. We find a high transport efficiencies of these particles to remote regions. About 34% of the emitted coarse TWPs and 30% of the emitted coarse BWPs (100 kt yr???1 and 40 kt yr???1 respectively) were deposited in the World Ocean. These amounts are of similar magnitude as the total estimated direct and riverine transport of TWPs and fibres to the ocean (64 kt yr???1). We suggest that the Arctic may be a particularly sensitive receptor region, where the light-absorbing properties of TWPs and BWPs may also cause accelerated warming and melting of the cryosphere. ?? 2020, The Author(s).",irrelevant
X58L2TKS,10.1016/j.marpolbul.2020.111763,"Microplastics ingestion by blue panchax fish (Aplocheilus sp.) from Ciliwung Estuary, Jakarta, Indonesia","Plastic pollution has a detrimental effect on marine environments, and there is limited information regarding its ingestion by biota, which is the primary consumer. Therefore, this research aims to assess microplastic ingestion by blue panchax fish (Aplocheilus sp.). To achieve this, microplastics were extracted and identified from Ciliwung estuary, coastal waters in North Jakarta, and the Aplocheilus sp. Its various forms and sizes were found in river flow (9.37 ?? 1.37 particles/m3), coastal waters (8.48 ?? 9.43 particles/m3), and in 75% samples of Aplocheilus sp. (1.97 particles/individual). The microplastic size which was of highest concentration in Aplocheilus sp. was relatively small, ranging from 300 to 500 ??m. This small size indicates that the fish has difficulty in distinguishing between their food and the microplastics. Further, there was a possibility of the absorption of other pollutants by the plastics. Therefore, an in-depth study on the effects of plastic ingestion on aquatic life, biomagnification, exposure, chemical toxicity, and socio-economy is recommended. ?? 2020 Elsevier Ltd",uncertain
C5NA2YJW,10.1016/j.envpol.2020.115659,"Plastic density as a key factor in the presence of microplastic in the gastrointestinal tract of commercial fishes from Campeche Bay, Mexico","Microplastics (MPs) are currently one of the primary marine pollution problems around the world. MPs are distributed throughout the water column, dependent mainly on the density that is given by the polymer type, as well as the location, depth, and velocities of the water flows. This situation allows all aquatic organisms to be exposed to MPs. Furthermore, toxic substances can adhere to the MPs, making the consumption of fish with MPs a risk to human health. The aim of this study was to evaluate and characterize the microplastics present in the gastrointestinal tract of six species of fish which had the highest human consumption in Campeche, Mexico and their relationship with the density of MPs founded. A total of 316 microplastic particles from 240 individuals were found with 1.31 ?? 2.59 of microplastics per fish. The results indicate that there are differences (KW?€?H = 53.14) between the densities of the MPs present in demersal fish (1.41 ?? 0.4 g cm???3) with respect to the pelagic species (1.04 ?? 0.24 g cm???3). Likewise, differences were found between fibers, fragments, and pellets present in the studied fish with a pelagic: demersal ratio of 1: 2.4 for all microplastics. The demersal species Haemulon plumierii (n = 40) presented the highest number of MPs with 115 items in total, 73 fibers, and 42 fragments. The results of this research show the first evidence that the density of the material from which microplastics are made play a key role determining their fate in marine fish habitats. ?? 2020 Elsevier Ltd",irrelevant
PXXNSIZU,10.1038/s41598-020-64464-9,Potential toxicity of polystyrene microplastic particles,"Environmental pollution arising from plastic waste is a major global concern. Plastic macroparticles, microparticles, and nanoparticles have the potential to affect marine ecosystems and human health. It is generally accepted that microplastic particles are not harmful or at best minimal to human health. However direct contact with microplastic particles may have possible adverse effect in cellular level. Primary polystyrene (PS) particles were the focus of this study, and we investigated the potential impacts of these microplastics on human health at the cellular level. We determined that PS particles were potential immune stimulants that induced cytokine and chemokine production in a size-dependent and concentration-dependent manner. ?? 2020, The Author(s).",irrelevant
VRXS2Z7A,10.46488/NEPT.2020.v19i05.004,"Microplastic occurrence in marine invertebrates sampled from Kwazulu-Natal, South Africa in different seasons","The occurrence of microplastics in the environment, together with increasing temperatures as a result of climate change, has become a global concern. However, few reports are available on microplastic ingestion in lower benthic marine animals sampled from their natural environment during different seasons of the year. This study investigated microplastic uptake in Dotilla fenestrata (Hilgendorf 1869), Holothuria cinerascens (Brandt 1835) and Pyura stolonifera (Heller 1878) sampled from their natural environment during winter and summer. Animals sampled were cleaned of sand and attached animals and transported on ice to the laboratory. D. fenestrata, H. cinerascens (guts), and P. stolonifera (soft tissues) were digested in 10% potassium hydroxide (KOH) solution for 24 hours at 60??C and analysed for microplastics. The per cent occurrences of microplastics found in sampled animals were more than 95 % in both seasons, and fibres were the most predominant microplastic types found. Season significantly affect microplastic uptake in Dotilla fenestrata (t-test: t-value = 2.915, df = 58, p = 0.01) while it had no effect in H. cinerascens and P. stolonifera sampled. A significantly higher number of microplastics were found in D. fenestrata than H. cinerascens (ANOVA HSD: df = 2, p = 008) and P. stolonifera (ANOVA HSD: df = 2, p = 000) in winter while H. cinerascens had a higher number of microplastics than P. stolonifera in summer (ANOVA HSD: df = 2, p = 002). These results show that microplastic uptake in some ectotherms may be season-dependent and that feeding method impacts the accessibility of marine invertebrates to microplastics in their environment. ?? 2020 Technoscience Publications. All rights reserved.",irrelevant
QELRHT5X,10.1016/j.marpolbul.2020.111765,Spatial and temporal variations of coastal microplastic pollution in Hong Kong,"Further to our 2015?€?16 investigation, this study revealed the repeated presence of microplastics (MPs) in the coastal environment (Deep Bay, Tolo Harbour, Tsing Yi and Victoria Harbour) of Hong Kong from July 2016 to March 2017. The highest level of MPs in coastal surface water (17,182 particles/100 m3) was detected in Tsing Yi. Microplastic abundance in sediments of different sites (59 to 225 plastic particles/kg), however, did not vary significantly. MPs in the size of ???1 mm were predominated in surface waters (53.3% to 98.6%) and sediments (79.1% to 96.8%). MPs in the shape of pellets and fragments were prevalent in surface waters and sediments respectively. Seasonal pattern of microplastic pollution was consistently observed in Victoria Harbour and Tsing Yi, where the number of MPs was always higher in dry season than in wet season for two consecutive years. ?? 2020 Elsevier Ltd",relevant
Y556TPNK,10.1007/s11356-020-10105-7,An intelligent way for discerning plastics at the shorelines and the seas,"Irrespective of how plastics litter the coastline or enter the sea, they pose a major threat to birds and marine life alike. In this study, an artificial intelligence tool was used to create an image classifier based on a convolutional neural network architecture that utilises the bottleneck method. The trained bottleneck method classifier was able to categorise plastics encountered either at the shoreline or floating at the sea surface into eight distinct classes, namely, plastic bags, bottles, buckets, food wrappings, straws, derelict nets, fish, and other objects. Discerning objects with a success rate of 90%, the proposed deep learning approach constitutes a leap towards the smart identification of plastics at the coastline and the sea. Training and testing loss and accuracy results for a range of epochs and batch sizes have lent credibility to the proposed method. Results originating from a resolution sensitivity analysis demonstrated that the prediction technique retains its ability to correctly identify plastics even when image resolution was downsized by 75%. Intelligent tools, such as the one suggested here, can replace manual sorting of macroplastics from human operators revealing, for the first time, the true scale of the amount of plastic polluting our beaches and the seas. ?? 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",irrelevant
3BSDBCZC,10.1038/s41598-020-70306-5,Identification of tidal trapping of microplastics in a temperate salt marsh system using sea surface microlayer sampling,"Microplastics are contaminants of increasing global environmental concern. Estuaries are a major transport pathway for land-derived plastics to the open ocean but are relatively understudied compared to coastal and open marine environments. The role of the ?€?estuarine filter?€?, by which the supply of sediments and contaminants to the sea is moderated by processes including vegetative trapping and particle flocculation, remains poorly defined for microplastics land to sea transfer. Here, we focus on the sea surface microlayer (SML) as a vector for microplastics, and use SML sampling to assess microplastic trapping in a temperate marsh system in Southampton Water, UK. The SML is known to concentrate microplastics relative to the underlying water and is the first part of rising tidal waters to traverse intertidal and upper tidal surfaces. Sampling a salt marsh creek at high temporal resolution allowed assessment of microplastics in-wash and outflow from the salt marsh, and its relationship with tidal state and bulk suspended sediment concentrations (SSC), over spring and neap tides. A statistically significant decrease in microplastics abundance from the flood tide to the ebb tide was found, and a weak positive relationship with SSC observed. ?? 2020, The Author(s).",relevant
GDTTBLIT,10.1038/s41467-020-17932-9,High concentrations of plastic hidden beneath the surface of the Atlantic Ocean,"Concern over plastic pollution of the marine environment is severe. The mass-imbalance between the plastic litter supplied to and observed in the ocean currently suggests a missing sink. However, here we show that the ocean interior conceals high loads of small-sized plastic debris which can balance and even exceed the estimated plastic inputs into the ocean since 1950. The combined mass of just the three most-littered plastics (polyethylene, polypropylene, and polystyrene) of 32?€?651 ??m size-class suspended in the top 200 m of the Atlantic Ocean is 11.6?€?21.1 Million Tonnes. Considering that plastics of other sizes and polymer types will be found in the deeper ocean and in the sediments, our results indicate that both inputs and stocks of ocean plastics are much higher than determined previously. It is thus critical to assess these terms across all size categories and polymer groups to determine the fate and danger of plastic contamination. ?? 2020, The Author(s).",relevant
CCBC53MS,10.1016/j.marpolbul.2020.111670,The current state of marine debris on the seafloor in offshore area around Japan,"Marine debris on the seafloor has not been thoroughly investigated, and there is little information compared to other types of marine debris. We conducted bottom trawl surveys to determine the present situation of marine debris on the seafloor in offshore areas around Japan. The survey was conducted in three sea areas with different characteristics. As a result, it was found that the amount of marine debris in submarine canyons (2926.1 items/km2) was higher than on the continental shelf. It was revealed that most marine debris on the seafloor is comprised of plastic products, and that debris on the seafloor retains its condition for a long time (over 30 years) without deterioration. In addition, the type of marine debris is affected by the industries operating in each area. Continuing to investigate marine debris on the seafloor in more areas will contribute to solving the problem of marine debris. ?? 2020 The Authors",relevant
9MR8SRXX,10.1016/j.scitotenv.2020.142023,Effects of distance to the sea and geomorphological characteristics on the quantity and distribution of microplastics in beach sediments of Granada (Spain),"Microplastics became an unprecedented challenge and mapping their contamination all over the world is needed in order to establish baseline levels and identify the polymers in order to enhance adequate legislation and policy. The main objective of this study is to demonstrate the existence of microplastic pollution on three beaches on the coast of Granada (Spain), namely La Herradura, Motril Beach and La R??bita, characterizing the particles and the relationships in their distribution. This may contribute supporting the studies carried out at a national level in accordance with the Directive on Marine Strategy (2008/56/EC). The results showed a greater median concentration of particles/kg of dry sediment in La Herradura (45.0 ?? 24.7) than in Motril (31.5 ?? 21.5) and La R??bita (22.0 ?? 23.2). These data revealed a higher contamination by microplastics in an enclosed bay-type beach (La Herradura) in comparison with open delta-type beaches. The predominant morphologies were microspheres and fragments, with maximum median concentrations of 38.0 ?? 23.7 and 6.0 ?? 0.7 particles/kg, respectively. The distribution and size of the particles is affected by the geomorphological and sedimentary characteristics of these beaches, which are different from any other in Spain and in the Mediterranean in general. The beaches of Granada showed more microplastic contamination than Greek or Slovenian beaches, but less than other Spanish beaches. In this area of the Mediterranean, the presence of microplastics can be affected by the wind, sea currents or methodological aspects such as the pore size of the filters used. All of these factors were analysed when comparing the beaches of Granada with other Mediterranean beaches. This study shows that there is contamination by microplastics on the beaches of Granada, which have been little explored until now due to the difficult geological and granulometric characteristics, and gives support to other national studies. ?? 2020",relevant
LHU5RZBK,10.1016/j.envpol.2020.115560,Intergenerational microplastics impact the intertidal barnacle Amphibalanus amphitrite during the planktonic larval and benthic adult stages,"Microplastics have size-dependent intergenerational impacts that significantly increase second generation mortality. ?? 2020 Elsevier Ltd Microplastic exposure in one generation of marine organism is believed to impact future generations; the nature of this impact, however, remains unclear, especially across different life stages. We investigated within-generational, latent, and intergenerational effects of various sizes (1.7, 6.8, 10.4, and 19.0 ??m) and concentrations (1, 10, 100, and 1000 beads mL???1) of polystyrene microplastics on the planktonic larval and benthic adult life stages of the intertidal barnacle Amphibalanus amphitrite. We exposed parents to microplastics during different developmental stages and examined the life history traits of their offspring. Microplastics had prominent intergenerational?€?but no within-generational?€?effects. Parental exposure to 1.7, 6.8, and 10.4 ??m microplastics from the larvae to adults significantly increased offspring larval mortality. 1.7 and 6.8 ??m microplastics at 1000 beads mL???1 delayed larval development in offspring. Intergenerational effects were observed when microplastics were exposed to parent larvae, suggesting that parental experiences during sensitive early-life stages can have profound impacts across generations. Adverse intergenerational effects of microplastics might drastically reduce larval recruitment and threaten long-term zooplankton sustainability. ?? 2020 Elsevier Ltd",irrelevant
IJ8XVYY4,10.1038/s41467-020-16235-3,Microplastics affect sedimentary microbial communities and nitrogen cycling,"Microplastics are ubiquitous in estuarine, coastal, and deep sea sediments. The impacts of microplastics on sedimentary microbial ecosystems and biogeochemical carbon and nitrogen cycles, however, have not been well reported. To evaluate if microplastics influence the composition and function of sedimentary microbial communities, we conducted a microcosm experiment using salt marsh sediment amended with polyethylene (PE), polyvinyl chloride (PVC), polyurethane foam (PUF) or polylactic acid (PLA) microplastics. We report that the presence of microplastics alters sediment microbial community composition and nitrogen cycling processes. Compared to control sediments without microplastic, PUF- and PLA-amended sediments promote nitrification and denitrification, while PVC amendment inhibits both processes. These results indicate that nitrogen cycling processes in sediments can be significantly affected by different microplastics, which may serve as organic carbon substrates for microbial communities. Considering this evidence and increasing microplastic pollution, the impact of plastics on global ecosystems and biogeochemical cycling merits critical investigation. ?? 2020, The Author(s).",irrelevant
53TUGVS6,10.1016/j.resconrec.2020.105096,"Public attitudes towards microplastics: Perceptions, behaviors and policy implications","Microplastics are ubiquitous and have been found in marine environments, organisms, salt, and even human bodies. Concern about the impact of microplastics on the ecological environment, as well as the threat of microplastics to food safety and public health is increasing among the society. However, there is currently no effective technical way to tackle and remove microplastics from the environment. Thus, public attitudes are key to reducing microplastic emissions. This study investigated the public's perceptions and attitudes towards microplastics in Shanghai and used an ordered regression model to explore the public's willingness to reduce microplastics and its influencing factors. We used random face-to-face interviews to complete a total of 437 valid questionnaires. The survey results show that only 26% of the respondents had heard of microplastics before the survey, and the majority were relatively unfamiliar with microplastics. Although the public's awareness of microplastics is low compared to that of other substances, when informed with the possibility that microplastics may affect human health, 75% of respondents became worried or even overly worried. In addition, the higher the respondents' knowledge of plastics and microplastics is, the stronger their willingness to behave. Public's concern is also an important impact factor. We found that women's willingness to reduce emissions is higher than men's and environmental protection-related practitioners are also more willing to act. Therefore, this article focuses on the public's understanding of microplastics to propose measures and policy implications to reduce microplastic emissions during the process of microplastic production and recycling. ?? 2020 Elsevier B.V.",irrelevant
Y37RPZD2,10.1038/s41598-020-66361-7,Persistence of plastic debris and its colonization by bacterial communities after two decades on the abyssal seafloor,"The fate of plastic debris entering the oceans is largely unconstrained. Currently, intensified research is devoted to the abiotic and microbial degradation of plastic floating near the ocean surface for an extended period of time. In contrast, the impacts of environmental conditions in the deep sea on polymer properties and rigidity are virtually unknown. Here, we present unique results of plastic items identified to have been introduced into deep-sea sediments at a water depth of 4150 m in the eastern equatorial Pacific Ocean more than two decades ago. The results, including optical, spectroscopic, physical and microbial analyses, clearly demonstrate that the bulk polymer materials show no apparent sign of physical or chemical degradation. Solely the polymer surface layers showed reduced hydrophobicity, presumably caused by microbial colonization. The bacterial community present on the plastic items differed significantly (p < 0.1%) from those of the adjacent natural environment by a dominant presence of groups requiring steep redox gradients (Mesorhizobium, Sulfurimonas) and a remarkable decrease in diversity. The establishment of chemical gradients across the polymer surfaces presumably caused these conditions. Our findings suggest that plastic is stable over extended times under deep-sea conditions and that prolonged deposition of polymer items at the seafloor may induce local oxygen depletion at the sediment-water interface. ?? 2020, The Author(s).",uncertain
9EHGXIF8,10.1016/j.zool.2020.125848,Coping with the ?€?dirt?€?: brown shrimp and the microplastic threat,"Microplastic pollution is an emerging threat to marine biota. Uptake of microplastics can impair nutrition and affect the performance of organisms. However, the vulnerability to microplastics seems to vary between species for yet widely unexplored reasons. We investigated the stomach content of the brown shrimp, Crangon crangon, from the southern North Sea and performed feeding experiments and anatomical studies of the digestive organs to comprehend the distribution of fluorescent microparticles within the shrimp. Shrimp collected in their natural environment contained between 51 and more than 3,000 sand grains and fragments of bivalve shells in their stomachs. Sand grains may have been ingested to exploit the associated biofilm or to support maceration of food. Bivalve shell fragments were particularly abundant in summer when shrimp fed on freshly settled mussels. Shrimps?€? stomach can be cleaned from ingested particles by regurgitation. In an experimental approach, we administered fluorescent microbeads of 0.1, 2.1, and 9.9 ??m diameter. Only the smallest particles (0.1 ??m) entered the midgut gland, which is the principal site of nutrient resorption in crustaceans. A fine-meshed chitinous filter system in the stomach of the shrimp prevents the passage of particles larger than about 1 ??m. C. crangon appears well adapted to handle natural microscopic particles. This trait might also be advantageous in coping with microplastic pollution. ?? 2020 The Authors",irrelevant
QARKV7J8,10.1016/j.marpolbul.2020.111776,"Citizen science reveals microplastic hotspots within tidal estuaries and the remote Scilly Islands, United Kingdom","The identification of microplastic hotspots is vital to our long-term understanding of their environmental fate and distribution. Although case studies have increased globally, sampling campaigns are often restricted geographically, with poor spatial resolution. Here, we use citizen science to increase our geographical reach, which improved our understanding of microplastic distribution in estuarine and beach sediment along the south-west coast of England. Hotspots (>700 particles per kg dry sediment) were identified on the Scilly Islands and in close proximity to major metropolitan hubs (i.e. Falmouth and Plymouth). Particles extracted from the Scilly Island sites were composed of polyethylene and polypropylene. With low population density on the Isle of Scilly, hotspots may suggest that microplastics originate from distant sources, while Falmouth and Plymouth, on mainland UK, are locally supplied. This information supports the design of future campaigns and targeted mitigation strategies in areas of highest concentrations. ?? 2020 Elsevier Ltd",relevant
2455TX2K,10.1016/j.marpolbul.2020.111748,"Invasive or not? The case of Grateloupia turuturu (Rhodophyta, Halymeniales) in the Northern Ionian Sea (Mediterranean Sea)","It has been predicted that Grateloupia turuturu, native of the cold-temperate waters of Japan, is one of the most invasive marine species considered as a threat to global marine biodiversity. However, few studies have been carried out to assess the extent of its spread worldwide. Its seasonal dynamics in the Mar Piccolo of Taranto, a transitional water system in the Northern Ionian Sea, were observed for ten years. Systematic monthly observations were carried out from 2008 to 2018. The length of thalli and density were measured alongside the seawater temperature. Data were processed by means of non-parametric statistical analyses. No invasive behavior was detected for G. turuturu. It seems well established in the Mar Piccolo even though its population is limited to the station of first detection. However, due to its shown preference for plastic substrate, it could become a vector of another urgent threat, that is plastic pollution. ?? 2020 Elsevier Ltd",irrelevant
